JAMB_Score,Study_Hours,Attendance_Rate,Teacher_Quality,Distance_To_School,Student_ID,Age,Gender,Assignments_Completed
132,6,72,3,20,206,16,2,1
122,24,75,2,1.6,207,15,2,2
204,32,74,3,7.2,208,20,1,3
151,7,87,3,15.1,209,18,2,1
118,7,67,3,6.6,210,21,2,1
100,24,85,4,13.6,211,18,1,1
103,12,86,1,9.2,212,17,2,1
179,0,69,3,8.9,213,17,2,1
191,8,100,3,0.9,214,16,1,2
190,19,90,2,0.5,215,18,1,1
111,4,87,2,13.7,216,21,1,1
132,12,74,3,5,217,22,2,1
150,18,89,2,8.4,218,17,1,2
111,28,91,3,17.9,219,18,1,1
132,13,81,3,14,220,18,1,1
142,27,100,1,0,221,17,2,1
212,36,87,3,7.7,222,18,1,3
245,38,100,3,4.1,223,17,2,4
299,33,95,3,9.7,224,21,2,2
180,2,90,2,12.7,225,21,1,1
192,25,70,2,9.7,226,19,2,3
189,30,89,3,11.2,227,17,2,3
106,13,73,3,18.4,228,18,2,1
249,40,81,2,14.3,229,19,1,4
128,24,98,3,6.9,230,21,2,3
274,33,89,2,10.9,231,18,2,2
135,26,72,1,10.3,232,18,2,1
208,25,83,2,8.4,233,22,2,3
198,0,73,4,8.1,234,19,1,1
135,12,95,3,4.5,235,20,2,1
195,32,79,3,15.4,236,16,2,4
161,11,88,2,7.2,237,19,1,1
111,12,93,2,6.8,238,21,1,2
112,5,76,2,5.6,239,20,2,1
198,38,91,2,17,240,20,2,3
216,38,77,2,8.2,241,18,2,4
183,12,100,2,1.1,242,18,2,2
185,22,94,1,10.4,243,21,1,1
118,9,79,1,8.1,244,16,1,1
111,20,73,2,6.7,245,22,2,1
118,20,80,2,15.8,246,19,1,1
206,30,83,2,0.3,247,17,2,3
194,24,100,2,7.2,248,22,2,2
182,40,73,4,7.2,249,18,1,3
115,5,82,1,19.1,250,22,1,1
198,6,86,3,5.7,251,19,2,1
151,14,82,2,7.6,252,15,1,1
199,7,85,3,1.4,253,18,2,1
115,1,79,3,12.2,254,17,1,1
152,9,91,1,15.3,255,18,1,1
138,8,88,2,13.9,256,20,2,1
104,5,84,3,13.3,257,22,2,1
192,26,57,4,15.5,258,19,1,2
117,10,84,2,4,259,16,2,1
108,12,64,2,3.9,260,15,1,1
116,23,87,4,11.6,261,17,1,1
206,15,100,4,11.6,262,21,1,2
139,14,73,2,19.6,263,18,2,2
249,29,87,2,5.6,264,17,1,4
165,1,78,3,1.6,265,16,1,1
236,3,100,2,12.6,266,15,1,2
207,25,87,4,10.2,267,22,2,4
164,23,100,3,7.9,268,17,2,2
116,33,85,3,1.8,269,19,2,4
188,22,87,2,8.8,270,19,2,3
135,24,82,2,9.4,271,17,2,3
130,14,89,4,9.5,272,22,1,1
153,21,67,2,17.5,273,15,2,1
173,35,85,2,17.4,274,18,2,3
138,0,81,2,14.5,275,19,2,1
144,21,89,2,5.1,276,18,1,2
277,40,89,2,10.6,277,18,2,4
119,18,71,2,13.3,278,17,1,1
240,40,88,2,12.1,279,19,1,3
102,8,70,3,11.5,280,17,2,1
161,18,65,2,1.4,281,16,2,3
124,16,88,1,11.3,282,18,1,1
137,0,87,1,14.4,283,15,1,1
157,8,88,1,10,284,21,1,1
281,19,100,4,0,285,20,2,2
146,25,76,2,12.9,286,18,1,2
184,28,71,3,15.9,287,15,2,4
135,19,81,3,13,288,17,2,3
119,22,78,2,9.9,289,19,1,1
246,24,81,3,5.7,290,18,1,1
113,25,80,3,5.5,291,16,1,1
100,14,74,2,16.1,292,18,2,5
102,14,62,3,15.6,293,15,2,1
156,16,79,3,11.8,294,22,2,1
173,26,73,2,6.5,295,21,1,2
171,16,86,2,16.5,296,15,2,1
123,24,75,1,13.6,297,15,1,3
107,4,91,3,13.7,298,19,1,1
235,15,100,2,4.5,299,16,2,1
157,24,90,2,7.5,300,16,1,1
227,23,73,3,4.8,301,15,2,2
240,21,100,3,2.4,302,16,2,2
226,32,100,3,11,303,16,2,2
116,9,81,4,16.7,304,17,1,1
219,21,100,4,15.5,305,20,1,3
128,28,76,2,19.9,306,16,1,3
234,39,70,2,11.7,307,20,1,2
181,34,78,2,11.9,308,15,2,2
168,17,100,3,6,309,19,1,2
165,30,70,1,10,310,20,1,4
229,16,88,5,11.9,311,17,1,1
104,6,80,2,11.3,312,16,1,1
282,7,86,3,14.1,313,17,2,1
117,30,77,2,5.4,314,18,2,2
148,10,83,3,14.3,315,17,1,2
125,14,76,1,16.3,316,20,2,1
185,12,71,5,5.7,317,21,2,1
148,24,85,4,7.3,318,17,1,1
197,18,96,4,18.6,319,17,2,1
250,14,97,2,4.8,320,22,1,2
255,30,82,3,12.9,321,16,2,1
168,6,72,4,12,322,17,2,1
102,6,77,3,9.8,323,20,1,1
152,0,98,1,7.2,324,22,1,1
173,7,90,2,7.7,325,19,1,1
184,22,92,2,10.1,326,16,2,1
100,0,88,1,13,327,15,2,1
176,6,88,4,7.9,328,18,2,1
200,22,87,1,10.3,329,22,2,3
131,11,88,3,1.2,330,15,1,1
280,40,86,2,5.8,331,16,1,3
225,40,74,2,14.2,332,15,2,1
153,10,90,1,12.7,333,18,2,1
149,23,94,2,10,334,22,1,3
153,25,72,4,3.6,335,20,1,1
193,16,93,3,2.6,336,20,1,3
156,5,99,1,12.2,337,17,1,1
146,17,83,3,15.1,338,15,1,1
184,19,77,4,15.3,339,20,1,1
174,16,85,3,8.7,340,16,2,1
237,29,83,5,0,341,19,2,3
197,15,80,3,7,342,18,1,1
197,11,90,3,17.9,343,15,1,2
178,21,69,2,13.7,344,19,1,1
162,22,70,3,13.3,345,18,1,3
137,6,82,2,14.6,346,15,1,1
178,28,84,3,11.9,347,16,2,3
150,2,86,2,8.4,348,19,2,1
128,11,99,2,7,349,20,1,2
216,21,88,2,4,350,22,2,2
183,15,91,1,7.2,351,19,2,1
133,11,72,3,20,352,21,2,1
165,36,91,1,15.5,353,15,1,1
142,9,77,2,11.1,354,15,2,2
246,40,89,3,8.5,355,16,2,5
215,27,86,3,5.1,356,16,2,2
215,24,97,2,9.3,357,21,2,1
103,18,67,2,10.5,358,17,2,1
166,40,62,3,8.9,359,22,1,5
126,7,79,3,11.8,360,22,1,1
149,7,87,4,9.8,361,15,2,2
150,11,84,3,4.5,362,16,1,1
254,27,100,3,9.6,363,15,2,1
141,1,86,1,10.5,364,16,2,1
220,24,82,3,9.7,365,18,2,3
104,29,58,3,4.1,366,16,2,2
189,22,83,2,15.5,367,16,2,2
148,15,92,3,1.2,368,18,1,1
144,11,79,2,16.3,369,18,1,1
125,24,81,3,13.9,370,20,1,2
185,13,89,3,6.1,371,17,2,1
229,40,78,4,4.1,372,16,2,4
247,40,95,3,16.4,373,18,2,3
225,26,100,2,15,374,17,1,2
107,14,78,1,9.3,375,17,1,3
151,27,72,3,0,376,15,1,3
221,33,87,5,3.1,377,18,2,1
227,17,67,2,10.7,378,19,1,3
187,16,88,3,20,379,18,2,1
125,4,86,2,10.1,380,21,1,1
256,30,100,2,7.2,381,21,2,2
122,21,79,2,12.5,382,18,1,1
117,3,85,1,15,383,17,2,1
198,17,78,4,8.9,384,22,1,1
163,6,80,1,14.9,385,20,2,1
236,17,74,3,0,386,18,1,1
238,30,86,2,1.5,387,18,1,3
185,14,82,2,6.5,388,20,2,1
143,14,85,4,9.9,389,17,2,1
212,8,81,3,13,390,17,2,1
167,21,85,2,10.2,391,21,2,1
117,14,78,2,2.2,392,15,1,1
246,19,86,2,4.8,393,15,2,2
107,12,81,2,9.7,394,18,1,2
182,22,85,3,5.2,395,22,1,1
105,6,87,4,7.9,396,18,2,1
163,5,82,1,8.1,397,20,2,1
155,34,80,2,5.2,398,16,1,2
169,13,82,2,7.4,399,19,2,2
132,15,75,3,6.1,400,16,1,1
270,37,87,3,8.1,401,22,2,3
247,40,100,4,10.5,402,16,2,4
210,11,78,3,12.4,403,18,2,1
229,28,85,2,12.8,404,17,1,3
208,16,83,4,17.8,405,17,2,1
230,19,85,4,14,406,19,1,2
135,10,79,3,15.2,407,22,1,1
105,,83,3,13.3,408,17,1,1
191,21,69,3,1.8,409,18,2,1
178,7,94,4,10.7,410,20,1,1
193,30,91,3,8.5,411,17,2,4
201,22,74,2,8.3,412,20,1,3
107,18,59,2,2.6,413,22,1,3
144,13,73,2,13.3,414,15,2,1
169,16,82,2,11.2,415,21,1,3
167,22,100,4,10.6,416,19,1,1
196,11,91,3,3.9,417,21,1,1
111,11,63,2,3.8,418,17,1,1
225,16,81,3,7,419,17,2,1
137,8,81,5,4.1,420,15,1,1
110,,83,1,9.8,421,21,2,1
176,32,72,2,10.8,422,16,1,1
132,10,80,1,4.4,423,18,1,1
109,25,73,2,8.2,424,17,1,4
109,24,70,2,14.4,425,21,1,3
112,3,83,2,5.6,426,20,2,1
183,10,92,2,11,427,15,2,1
236,40,96,3,11,428,15,2,5
308,40,98,3,4,429,16,2,1
123,15,76,2,11,430,21,1,2
134,19,89,3,8.4,431,20,1,1
148,12,86,3,6.9,432,20,2,3
159,22,85,3,14.2,433,22,1,1
177,13,79,4,8,434,22,1,2
174,1,80,3,3.1,435,17,2,1
175,8,85,2,14.9,436,16,1,1
100,14,100,1,8.5,437,19,1,1
121,5,84,2,14.8,438,15,1,1
228,23,82,2,4.2,439,18,1,2
240,15,81,4,4.1,440,15,1,2
159,11,79,3,12,441,16,2,2
220,31,100,3,0,442,18,2,3
218,25,83,2,3.9,443,22,2,2
125,15,90,4,6.9,444,21,1,1
188,29,82,2,6.5,445,22,1,3
188,25,88,2,4.8,446,18,1,2
171,32,92,2,15.1,447,15,2,4
113,10,75,4,9.6,448,22,2,1
137,13,76,2,8.4,449,18,1,1
162,7,99,2,12.2,450,21,1,1
124,12,90,2,8.1,451,17,2,1
165,28,91,2,3.8,452,22,1,3
150,29,90,2,12.4,453,15,2,3
169,28,88,3,10.3,454,16,2,4
106,0,99,3,14.9,455,19,2,1
141,27,83,3,19.5,456,16,2,2
214,6,92,2,5.6,457,17,2,2
132,24,68,2,10.6,458,22,1,1
126,12,73,2,10.3,459,19,1,1
137,23,71,2,15.4,460,19,2,2
126,4,93,3,11.5,461,20,2,1
167,30,60,2,4.5,462,16,1,1
109,1,76,2,10.7,463,22,2,1
173,13,56,4,9.8,464,22,2,1
137,7,74,3,9.3,465,21,2,1
146,1,78,3,16.6,466,22,2,1
187,22,98,4,6.7,467,15,2,1
114,31,84,3,17.1,468,15,2,3
104,38,72,1,15.5,469,19,2,4
167,20,94,3,15.4,470,16,1,1
101,24,80,1,11.7,471,22,1,3
285,31,92,4,10.6,472,22,2,1
142,21,71,1,10.3,473,16,1,2
119,12,71,2,15.2,474,15,2,1
209,24,79,2,4.5,475,20,2,1
105,19,80,1,6.5,476,17,2,1
146,12,83,2,11.2,477,15,2,4
111,14,95,3,13.1,478,15,2,1
161,18,87,2,13.1,479,17,2,3
232,32,62,3,10.9,480,15,1,1
292,20,94,2,15.9,481,19,2,2
199,21,72,2,14.6,482,22,1,3
104,31,71,2,6.3,483,19,2,3
171,30,76,2,8.5,484,19,1,2
191,33,79,1,1.4,485,20,1,2
108,14,67,3,12.2,486,21,1,2
128,19,83,3,12.3,487,19,2,1
240,34,75,3,11.4,488,20,2,3
122,29,84,2,12.2,489,19,1,4
236,7,100,3,12.7,490,16,1,2
135,4,69,2,9,491,16,2,1
200,34,83,3,9.6,492,17,2,3
154,15,59,1,12.8,493,20,1,2
214,17,84,2,3.2,494,18,1,2
172,8,90,2,0.3,495,19,1,1
173,14,91,3,4,496,18,2,1
125,3,82,2,7.7,497,22,1,1
162,38,92,3,6.2,498,21,1,4
189,21,100,3,0.3,499,18,1,1
101,13,96,1,6.9,500,21,1,1
190,26,80,4,12.8,501,19,1,3
116,23,67,3,8.6,502,15,1,1
158,27,79,1,7,503,17,2,2
150,27,74,3,15.3,504,20,2,3
224,18,92,2,10.9,505,21,2,1
169,16,73,3,4.4,506,21,1,1
282,36,90,4,18.1,507,18,2,2
162,14,91,4,16.5,508,15,1,1
225,24,87,4,10.3,509,15,1,3
270,31,81,3,7.1,510,19,2,5
180,27,96,2,16.9,511,17,2,3
148,1,65,2,10.9,512,21,2,1
185,27,82,4,4,513,19,2,1
239,23,88,3,8.9,514,17,1,1
100,20,80,1,6,515,19,1,2
193,28,87,1,12.8,516,22,2,1
155,33,89,3,14.3,517,22,1,5
131,28,81,2,6.1,518,17,1,2
148,30,79,2,8.4,519,16,1,4
279,40,87,4,14.9,520,15,2,4
118,18,75,2,14.7,521,22,2,2
213,23,94,3,1.6,522,20,1,2
165,27,78,2,14.8,523,22,1,4
193,28,94,2,5,524,15,1,2
162,16,84,3,12.6,525,15,2,1
207,26,81,4,9.6,526,22,1,2
102,13,86,1,9.3,527,17,1,1
173,12,77,3,20,528,15,1,1
133,28,88,2,17.9,529,16,1,2
186,21,87,3,9.4,530,16,2,1
131,35,76,3,14.2,531,21,1,1
192,6,90,3,4.7,532,18,2,1
156,13,88,3,18.4,533,15,2,1
223,24,98,3,6.6,534,19,2,2
207,33,96,2,16.7,535,21,2,5
246,29,93,3,11,536,19,2,3
150,20,72,2,15.7,537,19,2,2
107,4,100,2,1,538,20,1,1
231,14,75,3,16.2,539,16,2,1
131,19,91,3,11.1,540,18,1,2
115,2,85,2,19.5,541,20,1,1
136,12,71,3,2.2,542,18,1,3
213,27,86,3,7.5,543,16,1,3
147,8,82,1,9.6,544,18,1,1
209,37,99,3,2.1,545,19,2,3
222,35,81,3,8.7,546,19,2,1
118,1,78,2,9.5,547,16,1,1
159,10,61,2,9.5,548,19,1,1
100,,96,1,7.9,549,22,2,1
119,8,71,3,13.1,550,17,1,1
101,20,83,2,11.9,551,21,1,1
111,11,79,2,6.5,552,19,2,1
136,21,81,2,9,553,15,1,2
193,7,93,3,10.4,554,16,2,1
152,25,99,2,17.4,555,16,2,2
185,15,87,2,2.2,556,18,2,1
180,20,91,3,13.3,557,18,1,3
158,17,86,2,5.1,558,21,2,2
195,10,95,3,8.9,559,18,2,1
180,10,80,3,16.5,560,15,2,1
239,34,99,2,2.9,561,19,1,2
124,19,92,1,9.2,562,16,1,2
221,33,97,5,2.7,563,19,2,1
103,17,74,2,11.7,564,18,1,1
228,25,86,3,5.8,565,22,1,1
222,8,90,5,18.5,566,16,2,1
169,17,71,3,12.6,567,18,2,2
184,20,100,2,16.4,568,20,2,1
140,34,82,2,12.3,569,15,2,3
216,29,90,2,7.1,570,16,2,1
175,34,79,3,13.1,571,18,2,3
241,31,76,3,4.8,572,18,1,4
226,17,82,2,13.8,573,21,2,1
105,15,82,1,6.2,574,20,2,2
197,24,92,1,3,575,18,1,3
152,9,84,3,5,576,21,1,1
244,22,92,3,11,577,15,1,1
184,19,82,3,20,578,19,2,2
145,32,87,2,7.3,579,19,2,4
292,11,100,2,9.4,580,19,2,2
235,36,95,4,14.3,581,15,1,2
128,7,89,2,13.3,582,20,2,1
139,4,85,3,3,583,19,1,1
135,27,68,2,16.2,584,22,1,2
138,23,72,2,8,585,22,2,1
153,29,87,3,9.1,586,19,1,3
123,23,81,3,12.4,587,15,1,3
168,38,88,3,6.8,588,21,1,4
135,21,98,2,2.1,589,16,2,2
182,19,92,3,11.4,590,22,1,2
180,23,97,4,11.2,591,18,1,2
197,33,87,3,6.6,592,18,1,3
165,12,76,2,5.4,593,22,2,2
208,16,86,4,10.3,594,15,2,2
100,11,72,1,12.3,595,19,2,2
142,0,97,3,20,596,20,1,2
124,17,89,2,14.5,597,17,2,2
202,5,91,1,15.5,598,19,2,1
243,26,100,4,5.7,599,22,2,1
193,29,66,1,11,600,17,1,1
261,22,95,1,10.5,601,18,2,1
143,32,70,3,10.4,602,20,2,3
148,4,83,3,14.7,603,15,2,1
209,33,84,2,1.7,604,20,1,3
146,23,89,2,3.7,605,22,2,2
215,7,89,1,1.3,606,19,2,1
107,39,93,3,7.2,607,15,2,5
180,19,79,3,10.1,608,19,1,3
179,12,91,2,1.7,609,19,2,1
124,3,83,2,14,610,20,1,1
111,12,65,3,15.1,611,19,2,2
225,23,79,3,12.5,612,17,1,1
225,25,86,1,6.8,613,15,2,1
259,24,100,5,13,614,18,1,1
116,20,85,3,11.4,615,16,2,1
220,20,76,2,17.7,616,17,2,1
106,0,79,2,8.3,617,18,2,1
256,25,100,3,16.9,618,15,2,1
147,,84,3,15,619,22,1,1
222,27,84,1,3.2,620,16,1,1
194,12,90,2,3.7,621,16,1,1
138,18,89,1,8.5,622,15,1,1
158,30,79,2,8.7,623,17,2,3
116,6,85,2,13.3,624,20,1,1
123,25,78,2,14.5,625,20,1,3
244,21,95,2,11.1,626,21,1,2
236,40,90,2,17.1,627,19,1,2
189,18,90,3,8.5,628,22,1,1
138,9,75,3,10.1,629,19,1,1
103,20,72,3,15.5,630,19,1,1
124,11,90,2,2.5,631,22,1,2
132,8,81,2,7.3,632,18,2,1
141,13,85,2,6.8,633,15,2,1
165,18,81,3,12.6,634,17,2,1
291,40,100,1,8.7,635,22,2,4
112,0,75,2,7.4,636,20,1,1
131,16,80,3,9.7,637,15,2,1
138,22,89,2,2.2,638,20,1,1
278,30,100,3,9.9,639,16,2,1
192,33,80,1,12.4,640,18,1,2
293,29,100,3,5.5,641,17,2,1
155,16,86,4,16.7,642,16,1,2
209,28,77,3,4.9,643,19,1,3
238,26,92,3,15.9,644,22,2,1
164,15,80,2,6.8,645,20,2,1
202,27,90,3,13,646,19,2,2
129,10,81,3,8,647,19,2,1
117,9,81,2,6,648,15,2,2
224,19,79,3,8.7,649,16,2,4
245,38,98,5,15.4,650,17,2,2
264,0,79,4,13.6,651,16,2,1
187,24,75,5,13.6,652,21,1,2
236,25,92,2,19,653,17,2,2
142,2,97,4,4.6,654,18,1,1
138,19,79,2,9.8,655,18,1,1
145,21,89,3,16.1,656,17,2,1
161,24,94,3,2.7,657,16,1,1
124,,89,2,14.1,658,21,2,1
103,26,77,2,9.5,659,17,1,2
219,17,77,4,13.7,660,17,2,3
153,24,62,2,20,661,19,2,2
173,26,82,4,17,662,17,1,2
275,20,100,2,11.2,663,19,1,1
252,32,79,5,4.6,664,21,1,2
104,10,87,3,9,665,20,2,1
246,7,80,3,8.5,666,22,1,1
208,33,87,2,19.9,667,22,1,5
160,11,90,2,3.6,668,19,1,1
234,17,82,3,8.2,669,17,2,1
161,15,85,2,10.7,670,20,1,3
102,16,76,3,5,671,15,2,2
112,14,87,4,4.3,672,16,2,1
246,31,91,3,3.3,673,17,2,3
253,14,90,2,10.4,674,18,2,1
197,15,100,2,14.9,675,17,1,2
155,17,89,2,5.1,676,21,2,4
227,40,81,2,16.4,677,17,1,3
166,18,83,1,0.1,678,18,1,1
175,29,84,4,9.8,679,22,1,2
264,27,91,3,14.4,680,19,1,2
104,9,100,1,17,681,19,1,1
197,19,89,3,16.3,682,15,2,2
178,18,65,1,9.2,683,22,1,1
254,32,84,2,9.2,684,22,1,1
217,36,69,2,15.8,685,17,2,2
247,29,86,5,11,686,17,2,2
168,30,65,2,17,687,16,1,2
139,8,74,1,7.4,688,20,1,1
161,15,69,4,10.4,689,19,1,2
157,12,87,2,12.1,690,17,1,1
139,20,82,1,17,691,21,1,1
190,18,88,2,11.3,692,16,1,1
132,23,81,3,12.6,693,15,2,3
118,6,68,3,9,694,21,1,1
191,21,90,4,8.9,695,16,1,1
158,24,100,2,6.1,696,19,1,3
212,4,91,3,12.1,697,19,2,1
188,40,81,2,19.3,698,15,1,4
199,19,72,1,4.6,699,20,1,1
137,0,73,3,15.2,700,17,1,1
204,23,90,3,15.3,701,16,2,3
157,18,93,3,10.4,702,17,1,1
130,15,84,3,8.9,703,17,2,2
109,23,88,1,13.4,704,17,2,4
