JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,Age,Assignments_Completed
192,26,57,4,15.5,19,2
117,10,84,2,4,16,1
108,12,64,2,3.9,15,1
116,23,87,4,11.6,17,1
206,15,100,4,11.6,21,2
139,14,73,2,19.6,18,2
249,29,87,2,5.6,17,4
165,1,78,3,1.6,16,1
236,3,100,2,12.6,15,2
207,25,87,4,10.2,22,4
164,23,100,3,7.9,17,2
116,33,85,3,1.8,19,4
188,22,87,2,8.8,19,3
135,24,82,2,9.4,17,3
130,14,89,4,9.5,22,1
153,21,67,2,17.5,15,1
173,35,85,2,17.4,18,3
138,0,81,2,14.5,19,1
144,21,89,2,5.1,18,2
277,40,89,2,10.6,18,4
119,18,71,2,13.3,17,1
240,40,88,2,12.1,19,3
102,8,70,3,11.5,17,1
161,18,65,2,1.4,16,3
124,16,88,1,11.3,18,1
137,0,87,1,14.4,15,1
157,8,88,1,10,21,1
281,19,100,4,0,20,2
146,25,76,2,12.9,18,2
184,28,71,3,15.9,15,4
135,19,81,3,13,17,3
119,22,78,2,9.9,19,1
246,24,81,3,5.7,18,1
113,25,80,3,5.5,16,1
100,14,74,2,16.1,18,5
102,14,62,3,15.6,15,1
156,16,79,3,11.8,22,1
173,26,73,2,6.5,21,2
171,16,86,2,16.5,15,1
123,24,75,1,13.6,15,3
107,4,91,3,13.7,19,1
235,15,100,2,4.5,16,1
157,24,90,2,7.5,16,1
227,23,73,3,4.8,15,2
240,21,100,3,2.4,16,2
226,32,100,3,11,16,2
116,9,81,4,16.7,17,1
219,21,100,4,15.5,20,3
128,28,76,2,19.9,16,3
234,39,70,2,11.7,20,2
181,34,78,2,11.9,15,2
168,17,100,3,6,19,2
165,30,70,1,10,20,4
229,16,88,5,11.9,17,1
104,6,80,2,11.3,16,1
282,7,86,3,14.1,17,1
117,30,77,2,5.4,18,2
148,10,83,3,14.3,17,2
125,14,76,1,16.3,20,1
185,12,71,5,5.7,21,1
148,24,85,4,7.3,17,1
197,18,96,4,18.6,17,1
250,14,97,2,4.8,22,2
255,30,82,3,12.9,16,1
168,6,72,4,12,17,1
102,6,77,3,9.8,20,1
152,0,98,1,7.2,22,1
173,7,90,2,7.7,19,1
184,22,92,2,10.1,16,1
100,0,88,1,13,15,1
176,6,88,4,7.9,18,1
200,22,87,1,10.3,22,3
131,11,88,3,1.2,15,1
280,40,86,2,5.8,16,3
225,40,74,2,14.2,15,1
153,10,90,1,12.7,18,1
149,23,94,2,10,22,3
153,25,72,4,3.6,20,1
193,16,93,3,2.6,20,3
156,5,99,1,12.2,17,1
146,17,83,3,15.1,15,1
184,19,77,4,15.3,20,1
174,16,85,3,8.7,16,1
237,29,83,5,0,19,3
197,15,80,3,7,18,1
197,11,90,3,17.9,15,2
178,21,69,2,13.7,19,1
162,22,70,3,13.3,18,3
137,6,82,2,14.6,15,1
178,28,84,3,11.9,16,3
150,2,86,2,8.4,19,1
128,11,99,2,7,20,2
216,21,88,2,4,22,2
183,15,91,1,7.2,19,1
133,11,72,3,20,21,1
165,36,91,1,15.5,15,1
142,9,77,2,11.1,15,2
246,40,89,3,8.5,16,5
215,27,86,3,5.1,16,2
215,24,97,2,9.3,21,1
103,18,67,2,10.5,17,1
166,40,62,3,8.9,22,5
126,7,79,3,11.8,22,1
149,7,87,4,9.8,15,2
150,11,84,3,4.5,16,1
254,27,100,3,9.6,15,1
141,1,86,1,10.5,16,1
220,24,82,3,9.7,18,3
104,29,58,3,4.1,16,2
189,22,83,2,15.5,16,2
148,15,92,3,1.2,18,1
144,11,79,2,16.3,18,1
125,24,81,3,13.9,20,2
185,13,89,3,6.1,17,1
229,40,78,4,4.1,16,4
247,40,95,3,16.4,18,3
225,26,100,2,15,17,2
107,14,78,1,9.3,17,3
151,27,72,3,0,15,3
221,33,87,5,3.1,18,1
227,17,67,2,10.7,19,3
187,16,88,3,20,18,1
125,4,86,2,10.1,21,1
256,30,100,2,7.2,21,2
122,21,79,2,12.5,18,1
117,3,85,1,15,17,1
198,17,78,4,8.9,22,1
163,6,80,1,14.9,20,1
236,17,74,3,0,18,1
238,30,86,2,1.5,18,3
185,14,82,2,6.5,20,1
143,14,85,4,9.9,17,1
212,8,81,3,13,17,1
167,21,85,2,10.2,21,1
117,14,78,2,2.2,15,1
246,19,86,2,4.8,15,2
107,12,81,2,9.7,18,2
182,22,85,3,5.2,22,1
105,6,87,4,7.9,18,1
163,5,82,1,8.1,20,1
155,34,80,2,5.2,16,2
169,13,82,2,7.4,19,2
132,15,75,3,6.1,16,1
270,37,87,3,8.1,22,3
247,40,100,4,10.5,16,4
210,11,78,3,12.4,18,1
229,28,85,2,12.8,17,3
208,16,83,4,17.8,17,1
230,19,85,4,14,19,2
135,10,79,3,15.2,22,1
105,4,83,3,13.3,17,1
191,21,69,3,1.8,18,1
178,7,94,4,10.7,20,1
193,30,91,3,8.5,17,4
201,22,74,2,8.3,20,3
107,18,59,2,2.6,22,3
144,13,73,2,13.3,15,1
169,16,82,2,11.2,21,3
167,22,100,4,10.6,19,1
196,11,91,3,3.9,21,1
111,11,63,2,3.8,17,1
225,16,81,3,7,17,1
137,8,81,5,4.1,15,1
110,0,83,1,9.8,21,1
176,32,72,2,10.8,16,1
132,10,80,1,4.4,18,1
109,25,73,2,8.2,17,4
109,24,70,2,14.4,21,3
112,3,83,2,5.6,20,1
183,10,92,2,11,15,1
236,40,96,3,11,15,5
308,40,98,3,4,16,1
123,15,76,2,11,21,2
134,19,89,3,8.4,20,1
148,12,86,3,6.9,20,3
159,22,85,3,14.2,22,1
177,13,79,4,8,22,2
174,1,80,3,3.1,17,1
175,8,85,2,14.9,16,1
100,14,100,1,8.5,19,1
121,5,84,2,14.8,15,1
228,23,82,2,4.2,18,2
240,15,81,4,4.1,15,2
159,11,79,3,12,16,2
220,31,100,3,0,18,3
218,25,83,2,3.9,22,2
125,15,90,4,6.9,21,1
188,29,82,2,6.5,22,3
188,25,88,2,4.8,18,2
171,32,92,2,15.1,15,4
113,10,75,4,9.6,22,1
137,13,76,2,8.4,18,1
162,7,99,2,12.2,21,1
124,12,90,2,8.1,17,1
165,28,91,2,3.8,22,3
150,29,90,2,12.4,15,3
169,28,88,3,10.3,16,4
106,0,99,3,14.9,19,1
141,27,83,3,19.5,16,2
214,6,92,2,5.6,17,2
132,24,68,2,10.6,22,1
126,12,73,2,10.3,19,1
137,23,71,2,15.4,19,2
126,4,93,3,11.5,20,1
167,30,60,2,4.5,16,1
109,1,76,2,10.7,22,1
173,13,56,4,9.8,22,1
137,7,74,3,9.3,21,1
146,1,78,3,16.6,22,1
187,22,98,4,6.7,15,1
114,31,84,3,17.1,15,3
104,38,72,1,15.5,19,4
167,20,94,3,15.4,16,1
101,24,80,1,11.7,22,3
285,31,92,4,10.6,22,1
142,21,71,1,10.3,16,2
119,12,71,2,15.2,15,1
209,24,79,2,4.5,20,1
105,19,80,1,6.5,17,1
146,12,83,2,11.2,15,4
111,14,95,3,13.1,15,1
161,18,87,2,13.1,17,3
232,32,62,3,10.9,15,1
292,20,94,2,15.9,19,2
199,21,72,2,14.6,22,3
104,31,71,2,6.3,19,3
171,30,76,2,8.5,19,2
191,33,79,1,1.4,20,2
108,14,67,3,12.2,21,2
128,19,83,3,12.3,19,1
240,34,75,3,11.4,20,3
122,29,84,2,12.2,19,4
236,7,100,3,12.7,16,2
135,4,69,2,9,16,1
200,34,83,3,9.6,17,3
154,15,59,1,12.8,20,2
214,17,84,2,3.2,18,2
172,8,90,2,0.3,19,1
173,14,91,3,4,18,1
125,3,82,2,7.7,22,1
162,38,92,3,6.2,21,4
189,21,100,3,0.3,18,1
101,13,96,1,6.9,21,1
190,26,80,4,12.8,19,3
116,23,67,3,8.6,15,1
158,27,79,1,7,17,2
150,27,74,3,15.3,20,3
224,18,92,2,10.9,21,1
169,16,73,3,4.4,21,1
282,36,90,4,18.1,18,2
162,14,91,4,16.5,15,1
225,24,87,4,10.3,15,3
270,31,81,3,7.1,19,5
180,27,96,2,16.9,17,3
148,1,65,2,10.9,21,1
185,27,82,4,4,19,1
239,23,88,3,8.9,17,1
100,20,80,1,6,19,2
193,28,87,1,12.8,22,1
155,33,89,3,14.3,22,5
131,28,81,2,6.1,17,2
148,30,79,2,8.4,16,4
279,40,87,4,14.9,15,4
118,18,75,2,14.7,22,2
213,23,94,3,1.6,20,2
165,27,78,2,14.8,22,4
193,28,94,2,5,15,2
162,16,84,3,12.6,15,1
207,26,81,4,9.6,22,2
102,13,86,1,9.3,17,1
173,12,77,3,20,15,1
133,28,88,2,17.9,16,2
186,21,87,3,9.4,16,1
131,35,76,3,14.2,21,1
192,6,90,3,4.7,18,1
156,13,88,3,18.4,15,1
223,24,98,3,6.6,19,2
207,33,96,2,16.7,21,5
246,29,93,3,11,19,3
150,20,72,2,15.7,19,2
107,4,100,2,1,20,1
231,14,75,3,16.2,16,1
131,19,91,3,11.1,18,2
115,2,85,2,19.5,20,1
136,12,71,3,2.2,18,3
213,27,86,3,7.5,16,3
147,8,82,1,9.6,18,1
209,37,99,3,2.1,19,3
222,35,81,3,8.7,19,1
118,1,78,2,9.5,16,1
159,10,61,2,9.5,19,1
100,0,96,1,7.9,22,1
119,8,71,3,13.1,17,1
101,20,83,2,11.9,21,1
111,11,79,2,6.5,19,1
136,21,81,2,9,15,2
193,7,93,3,10.4,16,1
152,25,99,2,17.4,16,2
185,15,87,2,2.2,18,1
180,20,91,3,13.3,18,3
158,17,86,2,5.1,21,2
195,10,95,3,8.9,18,1
180,10,80,3,16.5,15,1
239,34,99,2,2.9,19,2
124,19,92,1,9.2,16,2
221,33,97,5,2.7,19,1
103,17,74,2,11.7,18,1
228,25,86,3,5.8,22,1
222,8,90,5,18.5,16,1
169,17,71,3,12.6,18,2
184,20,100,2,16.4,20,1
140,34,82,2,12.3,15,3
216,29,90,2,7.1,16,1
175,34,79,3,13.1,18,3
241,31,76,3,4.8,18,4
226,17,82,2,13.8,21,1
105,15,82,1,6.2,20,2
197,24,92,1,3,18,3
152,9,84,3,5,21,1
244,22,92,3,11,15,1
184,19,82,3,20,19,2
145,32,87,2,7.3,19,4
292,11,100,2,9.4,19,2
235,36,95,4,14.3,15,2
128,7,89,2,13.3,20,1
139,4,85,3,3,19,1
135,27,68,2,16.2,22,2
138,23,72,2,8,22,1
153,29,87,3,9.1,19,3
123,23,81,3,12.4,15,3
168,38,88,3,6.8,21,4
135,21,98,2,2.1,16,2
182,19,92,3,11.4,22,2
180,23,97,4,11.2,18,2
197,33,87,3,6.6,18,3
165,12,76,2,5.4,22,2
208,16,86,4,10.3,15,2
100,11,72,1,12.3,19,2
142,0,97,3,20,20,2
124,17,89,2,14.5,17,2
202,5,91,1,15.5,19,1
243,26,100,4,5.7,22,1
193,29,66,1,11,17,1
261,22,95,1,10.5,18,1
143,32,70,3,10.4,20,3
148,4,83,3,14.7,15,1
209,33,84,2,1.7,20,3
146,23,89,2,3.7,22,2
215,7,89,1,1.3,19,1
107,39,93,3,7.2,15,5
180,19,79,3,10.1,19,3
179,12,91,2,1.7,19,1
124,3,83,2,14,20,1
111,12,65,3,15.1,19,2
225,23,79,3,12.5,17,1
225,25,86,1,6.8,15,1
259,24,100,5,13,18,1
116,20,85,3,11.4,16,1
220,20,76,2,17.7,17,1
106,0,79,2,8.3,18,1
256,25,100,3,16.9,15,1
147,0,84,3,15,22,1
222,27,84,1,3.2,16,1
194,12,90,2,3.7,16,1
138,18,89,1,8.5,15,1
158,30,79,2,8.7,17,3
116,6,85,2,13.3,20,1
123,25,78,2,14.5,20,3
244,21,95,2,11.1,21,2
236,40,90,2,17.1,19,2
189,18,90,3,8.5,22,1
138,9,75,3,10.1,19,1
103,20,72,3,15.5,19,1
124,11,90,2,2.5,22,2
132,8,81,2,7.3,18,1
141,13,85,2,6.8,15,1
165,18,81,3,12.6,17,1
291,40,100,1,8.7,22,4
112,0,75,2,7.4,20,1
131,16,80,3,9.7,15,1
138,22,89,2,2.2,20,1
278,30,100,3,9.9,16,1
192,33,80,1,12.4,18,2
293,29,100,3,5.5,17,1
155,16,86,4,16.7,16,2
209,28,77,3,4.9,19,3
238,26,92,3,15.9,22,1
164,15,80,2,6.8,20,1
202,27,90,3,13,19,2
129,10,81,3,8,19,1
117,9,81,2,6,15,2
224,19,79,3,8.7,16,4
245,38,98,5,15.4,17,2
264,0,79,4,13.6,16,1
187,24,75,5,13.6,21,2
236,25,92,2,19,17,2
142,2,97,4,4.6,18,1
138,19,79,2,9.8,18,1
145,21,89,3,16.1,17,1
161,24,94,3,2.7,16,1
124,0,89,2,14.1,21,1
103,26,77,2,9.5,17,2
219,17,77,4,13.7,17,3
153,24,62,2,20,19,2
173,26,82,4,17,17,2
275,20,100,2,11.2,19,1
252,32,79,5,4.6,21,2
104,10,87,3,9,20,1
246,7,80,3,8.5,22,1
208,33,87,2,19.9,22,5
160,11,90,2,3.6,19,1
234,17,82,3,8.2,17,1
161,15,85,2,10.7,20,3
102,16,76,3,5,15,2
112,14,87,4,4.3,16,1
246,31,91,3,3.3,17,3
253,14,90,2,10.4,18,1
197,15,100,2,14.9,17,2
155,17,89,2,5.1,21,4
227,40,81,2,16.4,17,3
166,18,83,1,0.1,18,1
175,29,84,4,9.8,22,2
264,27,91,3,14.4,19,2
104,9,100,1,17,19,1
197,19,89,3,16.3,15,2
178,18,65,1,9.2,22,1
254,32,84,2,9.2,22,1
217,36,69,2,15.8,17,2
247,29,86,5,11,17,2
168,30,65,2,17,16,2
139,8,74,1,7.4,20,1
161,15,69,4,10.4,19,2
157,12,87,2,12.1,17,1
139,20,82,1,17,21,1
190,18,88,2,11.3,16,1
132,23,81,3,12.6,15,3
118,6,68,3,9,21,1
191,21,90,4,8.9,16,1
158,24,100,2,6.1,19,3
212,4,91,3,12.1,19,1
188,40,81,2,19.3,15,4
199,19,72,1,4.6,20,1
137,0,73,3,15.2,17,1
204,23,90,3,15.3,16,3
157,18,93,3,10.4,17,1
130,15,84,3,8.9,17,2
109,23,88,1,13.4,17,4
152,25,90,1,13,22,3
130,19,86,2,12.5,18,2
301,34,86,4,1.4,22,4
192,20,87,4,9.8,15,1
201,38,78,3,14.6,17,4
145,4,83,2,15.2,15,1
116,16,84,2,11.9,20,1
233,25,100,3,8.1,17,3
187,28,73,2,7.4,22,3
169,12,89,2,9.4,16,1
206,6,100,1,13.9,22,1
195,23,93,3,11.9,16,3
127,18,89,4,6.7,21,2
193,35,91,3,15.6,21,4
121,4,93,1,12.9,15,1
195,32,75,3,6.7,22,3
167,40,71,2,5.6,22,2
116,11,81,2,11.6,17,2
116,3,60,3,12.7,15,3
164,15,95,3,16.9,15,1
217,23,99,5,6.8,18,2
163,24,79,4,3.4,17,3
175,14,81,3,0,18,1
198,36,85,3,7.8,17,5
175,10,85,2,10.2,22,2
260,11,91,2,13.8,21,1
178,30,90,4,19.6,19,1
174,0,83,3,9.1,19,1
125,14,90,2,0,18,1
233,40,92,3,2.9,19,4
180,20,79,4,4.2,18,1
240,15,100,4,8,19,1
228,24,75,1,7.6,18,3
131,16,81,2,20,19,2
213,24,96,3,5.7,21,3
210,29,80,4,12.6,15,3
216,14,90,4,13.1,21,2
155,33,88,4,11.8,15,3
120,17,73,1,12.4,15,1
158,25,83,2,13.8,17,1
118,9,79,3,10.5,16,1
202,34,81,2,12.5,18,4
157,16,100,1,9.7,16,1
114,17,73,3,18.2,15,1
134,8,91,2,11.5,18,1
274,19,87,5,14.5,22,1
117,21,70,2,13.9,18,1
179,16,86,3,9.2,22,3
159,11,90,2,18.3,17,1
216,17,96,4,13.7,16,2
207,29,100,3,6.7,20,2
145,11,100,2,17.5,21,1
170,18,86,2,0.9,16,1
163,19,77,2,3.9,19,1
123,0,85,1,13.1,18,1
102,0,77,3,14.8,15,1
214,26,96,1,8.5,19,2
177,13,72,2,17.4,20,1
183,30,100,3,20,21,2
137,25,90,3,12.7,21,2
221,30,71,2,10.2,19,3
101,30,73,3,10.3,18,2
110,14,88,1,13.8,19,2
180,26,96,3,3.4,18,2
267,22,78,4,16.6,18,3
181,40,91,3,15.7,19,4
194,39,67,2,7.3,15,3
110,14,79,3,16.6,20,1
132,20,92,2,16.6,22,1
140,29,77,3,9.7,19,3
271,26,76,5,14.3,16,1
140,11,84,3,11,18,1
245,33,83,4,12.8,15,4
215,24,93,3,13.9,22,1
191,23,77,3,20,22,3
173,12,77,3,9.3,21,1
196,6,67,1,16.1,20,1
132,18,83,3,11.3,17,1
129,24,80,2,13.1,21,2
275,26,79,4,10,17,2
165,32,86,2,10.8,19,3
189,14,95,2,8.8,21,1
114,5,78,3,14.4,17,1
243,25,91,2,2.9,22,1
210,22,89,4,19,21,2
205,29,75,2,10.8,22,4
172,12,100,3,5.7,16,1
231,37,83,3,6.9,22,5
175,37,91,3,15,19,4
149,17,90,1,14.4,21,2
183,32,84,3,15,19,2
106,4,86,2,7.7,20,1
179,30,87,2,13.7,15,3
157,28,70,2,8.9,18,2
102,21,77,2,9.4,21,2
291,29,86,2,0,22,2
181,0,80,4,8.3,19,1
222,18,75,4,13.6,22,2
124,10,92,3,18,19,1
118,6,96,2,12,19,1
199,23,95,2,10.3,15,1
192,17,97,3,20,19,1
154,10,80,4,13.9,20,1
293,20,86,3,7.2,21,2
117,8,73,1,13.3,22,1
136,27,88,4,5.4,18,4
158,12,85,1,18.1,18,1
173,15,83,2,6.5,19,1
160,14,96,2,5.5,15,1
214,26,91,1,4.7,17,1
211,27,79,4,17.6,21,3
220,0,81,4,7.9,21,1
160,28,90,2,13.6,22,4
136,29,92,3,17.6,21,1
119,5,86,4,12.7,19,1
149,9,100,2,14.9,21,1
195,17,100,2,5.1,20,2
197,15,90,5,7.1,19,2
165,21,76,3,16,16,2
135,0,69,2,14.1,21,1
141,7,79,4,12.3,20,1
157,32,90,3,10.5,15,2
111,6,98,2,5.5,18,2
117,26,85,2,7.1,15,1
114,18,92,3,10.4,15,1
225,7,85,1,10.8,19,1
193,27,91,2,18.8,16,1
243,24,96,4,2.6,19,2
101,9,61,2,13.1,15,1
204,24,82,4,1.7,19,1
240,29,97,4,8.3,21,3
246,32,91,3,0,20,2
188,31,74,2,6.7,21,3
169,23,61,2,17.4,15,1
188,8,82,5,13,21,1
165,15,83,4,10.9,18,1
104,40,72,2,15.2,19,5
139,23,83,2,12.3,21,1
135,38,87,2,17.4,19,5
146,30,89,3,10.3,18,1
209,25,64,2,8.4,19,2
213,26,74,3,14.7,15,2
192,21,83,4,0,17,2
193,5,91,1,9.5,19,1
204,22,91,3,13.8,18,2
242,36,93,4,17.6,18,4
156,13,80,2,9.9,17,1
219,27,84,4,10.8,15,3
136,24,75,2,6.4,16,2
175,11,92,3,10.7,15,1
143,13,74,2,16.4,20,1
178,11,93,2,1.4,19,1
160,11,85,2,7.9,18,1
263,15,89,4,10.3,18,1
236,17,82,4,8.5,15,1
128,29,69,2,8.1,15,2
134,8,76,1,17.7,22,1
158,19,80,3,9.4,19,1
150,13,60,3,12.5,15,1
291,40,90,3,6.1,21,4
187,33,94,4,13.6,17,5
197,29,91,1,12.8,17,1
128,19,77,1,2,16,1
194,19,86,2,3.5,18,1
242,14,83,4,20,19,1
143,35,84,1,4.4,22,3
122,8,96,1,10.9,19,1
294,36,100,4,12.3,15,3
249,35,94,3,14.3,18,5
207,17,82,3,14.5,16,3
100,23,87,3,14.3,16,1
128,23,65,2,16.2,16,1
104,29,78,2,17.7,20,1
146,13,88,3,15.6,21,1
154,6,90,1,8.5,18,1
142,12,89,1,10.1,20,2
181,22,88,2,7.1,16,3
107,15,78,3,11,20,1
175,16,89,3,16.7,20,1
